province,district,subdistrict,sector,organisationunitname,fosaid,type,openmrs.db.name
North,Musanze District,Ruhengeri Sub District,Nyange (Musanze),Nyange (Musanze) CS,1688,Health Center,a1688
East,Kirehe District,Kirehe Sub District,Mahama,Mahama Refugee Camp II HC,1671,Health Center,a1671
South,Kamonyi District,Remera Rukoma Sub District,Karama (Kamonyi District),Karama (Kamonyi) CS,1666,Health Center,a1666
West,Rusizi District,Mibilizi Sub District,Nyakabuye,Nyakabuye CS,1665,Health Center,a1665
West,Karongi District,Kibuye Sub District,Rwankuba,Bigugu CS,1662,Health Center,a1662
East,Ngoma District,Kibungo Sub District,Gashanda,Gashanda CS,1660,Health Center,a1660
West,Rubavu District,Gisenyi Sub District,Cyanzarwe,Busigari CS,1656,Health Center,a1656
North,Gicumbi District,Byumba Sub District,Mukarange,Mukarange (Gicumbi) CS,1655,Health Center,a1655
North,Gakenke District,Ruli Sub District,Minazi ,Minazi CS,1651,Health Center,a1651
North,Gakenke District,Nemba Sub District,Gakenke ,Nganzo CS,1650,Health Center,a1650
South,Muhanga District,Kabgayi Sub District,Muhanga,Mata CS,1648,Health Center,a1648
Kigali City,Kicukiro District,Masaka Sub District,Kanombe,Kairos CS,1647,Health Center,a1647
East,Kirehe District,Kirehe Sub District,Mahama,Mahama Refugee Camp HC,1646,Health Center,a1646
North,Burera District,Butaro Sub District,Rugarama,Rugarama CS,1641,Health Center,a1641
North,Burera District,Butaro Sub District,Gatebe,Gatebe CS,1560,Health Center,a1560
South,Huye District,Kabutare Sub District,Mukura,Mukura (Huye) CS,1557,Health Center,a1557
West,Rubavu District,Gisenyi Sub District,Nyakiriba,Nyakiriba CS,1555,Health Center,a1555
South,Gisagara District,Kibilizi Sub District,Kigembe,Agahabwa CS,1554,Health Center,a1554
West,Ngororero District,Muhororo Sub District,KAGEYO,Kageyo (Ngororero) CS,1538,Health Center,a1538
North,Gakenke District,Ruli Sub District,Muyongwe ,Muyongwe CS,1534,Health Center,a1534
West,Rutsiro District,Murunda Sub District,Boneza,Iwawa CS,1533,Health Center,a1533
North,Musanze District,Ruhengeri Sub District,Musanze,Musanze CS,1475,Health Center,a1475
